"id","vignette","structure","p_C","p_A","cause","conf","attn_check","duration","age","sex"
"R_0kwyq3aRevkEikN","casino","con",0.6,0.7,0.628,0.654,"Yes.",6.01666666666667,39,"Female"
"R_0kwyq3aRevkEikN","chores","dis",0.5,0.7,0.758,0.594,"Yes.",6.01666666666667,39,"Female"
"R_0kwyq3aRevkEikN","ducks","dis",0.3,0.4,0.803,0.78,"Yes.",6.01666666666667,39,"Female"
"R_0kwyq3aRevkEikN","fruit","con",0.2,0.1,0.631,0.583,"Yes.",6.01666666666667,39,"Female"
"R_0kwyq3aRevkEikN","wheels","dis",0.1,0.4,0.692,0.538,"Yes.",6.01666666666667,39,"Female"
"R_V3DucRD87xhXr0J","cards","dis",0.5,1,0.82,0.637,"Yes.",2.85,27,"Male"
"R_V3DucRD87xhXr0J","casino","dis",0.1,0.1,1,1,"Yes.",2.85,27,"Male"
"R_V3DucRD87xhXr0J","chores","dis",0.5,0.9,0.787,0.277,"Yes.",2.85,27,"Male"
"R_V3DucRD87xhXr0J","ducks","con",1,0.2,0.862,0.91,"Yes.",2.85,27,"Male"
"R_V3DucRD87xhXr0J","fruit","dis",0.4,0.8,0.901,0.423,"Yes.",2.85,27,"Male"
"R_V3DucRD87xhXr0J","wheels","con",0.9,0.5,1,0.656,"Yes.",2.85,27,"Male"
"R_33r4sEANvtXG6op","cards","con",0.3,0.8,0.799,0.592,"Yes.",4.68333333333333,28,"Female"
"R_33r4sEANvtXG6op","casino","dis",0.9,0.5,0.975,0.555,"Yes.",4.68333333333333,28,"Female"
"R_33r4sEANvtXG6op","chores","con",0.7,0.7,0.494,0.263,"Yes.",4.68333333333333,28,"Female"
"R_33r4sEANvtXG6op","ducks","con",0.1,0.3,0.61,0.486,"Yes.",4.68333333333333,28,"Female"
"R_33r4sEANvtXG6op","fruit","con",0.7,0.6,0.423,0.455,"Yes.",4.68333333333333,28,"Female"
"R_33r4sEANvtXG6op","wheels","dis",0.6,0.2,1,0.572,"Yes.",4.68333333333333,28,"Female"
"R_10Yp5HIF6zNUqLT","cards","dis",0.2,0.2,1,1,"Yes.",7.21666666666667,42,"Female"
"R_10Yp5HIF6zNUqLT","casino","con",0.1,1,0.659,1,"Yes.",7.21666666666667,42,"Female"
"R_10Yp5HIF6zNUqLT","chores","dis",0.4,1,0.156,1,"Yes.",7.21666666666667,42,"Female"
"R_10Yp5HIF6zNUqLT","ducks","con",0.9,0.9,0.963,0.958,"Yes.",7.21666666666667,42,"Female"
"R_10Yp5HIF6zNUqLT","fruit","con",0.5,0.8,0.797,1,"Yes.",7.21666666666667,42,"Female"
"R_10Yp5HIF6zNUqLT","wheels","con",0.7,0.5,1,1,"Yes.",7.21666666666667,42,"Female"
"R_2Y5hhIm25E8l2Ps","cards","dis",0.6,0.8,0.661,0.88,"Yes.",7.06666666666667,35,"Female"
"R_2Y5hhIm25E8l2Ps","casino","dis",0.3,0.5,0.837,0.587,"Yes.",7.06666666666667,35,"Female"
"R_2Y5hhIm25E8l2Ps","chores","con",0.9,0.6,0.789,0.742,"Yes.",7.06666666666667,35,"Female"
"R_2Y5hhIm25E8l2Ps","ducks","con",0.9,0.7,0.766,0.821,"Yes.",7.06666666666667,35,"Female"
"R_2Y5hhIm25E8l2Ps","fruit","dis",0.7,0.8,0.952,0.885,"Yes.",7.06666666666667,35,"Female"
"R_2Y5hhIm25E8l2Ps","wheels","con",1,0.5,0.265,0.713,"Yes.",7.06666666666667,35,"Female"
"R_2YbMi1gtO0xnOnC","cards","con",0.2,0.9,0.492,1,"Yes.",4,27,"Male"
"R_2YbMi1gtO0xnOnC","casino","dis",0.5,0.8,1,1,"Yes.",4,27,"Male"
"R_2YbMi1gtO0xnOnC","chores","con",0.2,0.2,0.51,1,"Yes.",4,27,"Male"
"R_2YbMi1gtO0xnOnC","ducks","con",0.8,1,0.496,1,"Yes.",4,27,"Male"
"R_2YbMi1gtO0xnOnC","fruit","dis",0.5,0.4,1,1,"Yes.",4,27,"Male"
"R_2YbMi1gtO0xnOnC","wheels","con",0.6,0.8,1,1,"Yes.",4,27,"Male"
"R_3HLz3snzUGo69vd","cards","dis",0.2,1,1,1,"Yes.",7.75,24,"Male"
"R_3HLz3snzUGo69vd","casino","con",0.6,1,1,1,"Yes.",7.75,24,"Male"
"R_3HLz3snzUGo69vd","chores","dis",1,0.5,1,1,"Yes.",7.75,24,"Male"
"R_3HLz3snzUGo69vd","ducks","con",0.1,0.8,1,1,"Yes.",7.75,24,"Male"
"R_3HLz3snzUGo69vd","fruit","dis",0.1,0.5,0.941,0.911,"Yes.",7.75,24,"Male"
"R_3HLz3snzUGo69vd","wheels","con",0.4,0.2,0.581,0.755,"Yes.",7.75,24,"Male"
"R_8wAbYK7EMsBT6Cd","cards","con",1,0.5,0.694,0.562,"No, something else affected my participation negatively.",1.7,25,"Male"
"R_8wAbYK7EMsBT6Cd","casino","con",0.7,0.6,0.615,0.186,"No, something else affected my participation negatively.",1.7,25,"Male"
"R_8wAbYK7EMsBT6Cd","chores","dis",0.8,0.8,0.6,0.659,"No, something else affected my participation negatively.",1.7,25,"Male"
"R_8wAbYK7EMsBT6Cd","ducks","con",0.9,0.3,0.428,0.587,"No, something else affected my participation negatively.",1.7,25,"Male"
"R_8wAbYK7EMsBT6Cd","fruit","con",0.1,0.8,0.823,0.738,"No, something else affected my participation negatively.",1.7,25,"Male"
"R_8wAbYK7EMsBT6Cd","wheels","dis",0.7,1,0.625,0.677,"No, something else affected my participation negatively.",1.7,25,"Male"
